emp_record_id,person_id,employer,years_exp
EMP-e7rei9vf9s,P-00M9D42,MediLife,22.0
EMP-05vnf0gxu8,P-02IT6C1,EduWorks,9.0
EMP-tfcigvpzw0,P-02ZANEH,TechCorp,25.0
EMP-x2u5ssnarn,P-039KK9M,TranspoX,34.0
EMP-buon09c63z,P-04UVB7W,TechCorp,29.0
EMP-ix90po4f2n,P-06L8FGI,EduWorks,29.0
EMP-lbjfxglplz,P-0CUDUMS,TranspoX,6.0
EMP-dcfnnj3j5p,P-0CUIEC1,TranspoX,17.0
EMP-3w1c49mezx,P-0ELHR7T,EduWorks,20.0
EMP-n797nhlfnp,P-0FOZ4WL,EduWorks,6.0
EMP-4m8iulwdy7,P-0GEC9IQ,EduWorks,27.0
EMP-cndiry0fwl,P-0GMTVPJ,MediLife,36.0
EMP-jibqy9fkq9,P-0IRLBTF,TranspoX,35.0
EMP-1izvo0s8q1,P-0J6N4NZ,AgriFoods,25.0
EMP-jpw77abzwe,P-0M0AV3C,AgriFoods,7.0
EMP-o9lcqia08s,P-0OBI5G3,AgriFoods,23.0
EMP-vp7jw3gp3g,P-0OF2F5V,EduWorks,35.0
EMP-6be1hzy4lq,P-0P14EA0,TranspoX,3.0
EMP-559oos9if9,P-0PGEQPX,RetailCo,35.0
EMP-qhp722cs6p,P-0Q5C19T,TranspoX,15.0
EMP-5bea1xar7w,P-0QS5Y7D,MediLife,37.0
EMP-zmvh8thumr,P-0QVOII7,MediLife,17.0
EMP-9nkna7qck6,P-0RGMMFI,TranspoX,18.0
EMP-qs0pmb9qus,P-0SYPQLX,EduWorks,6.0
EMP-vlydivojdq,P-0VU2D42,EduWorks,36.0
EMP-w6vp2vrhpm,P-0WPOTBT,TranspoX,2.0
EMP-uccgo3cctp,P-0X7JQ57,AgriFoods,19.0
EMP-d20hbmg22h,P-0XUOBNY,RetailCo,17.0
EMP-gbdxxqa1k1,P-0ZP41IZ,MediLife,40.0
EMP-oiipvbwd40,P-10GCTF7,TranspoX,2.0
EMP-wgto5dxvpo,P-11U6ZBE,TranspoX,3.0
EMP-vy0f95fz4p,P-12KAJUF,AgriFoods,34.0
EMP-9ridrgui6k,P-1928MWH,RetailCo,17.0
EMP-99h5olq6d9,P-19MD23L,TranspoX,36.0
EMP-vvvvz2ky0k,P-1B60FEM,TranspoX,14.0
EMP-bjtn0opg0j,P-1DBTCJN,RetailCo,6.0
EMP-mqci5g6ipp,P-1HMMALI,,
EMP-vbjltxg03i,P-1N2LM4V,RetailCo,35.0
EMP-8pklxrxpgt,P-1P9UEEY,TranspoX,20.0
EMP-i520szjde0,P-1QTLVHR,EduWorks,36.0
EMP-ivoci8hodg,P-1RAHDT5,MediLife,12.0
EMP-z7amxlez2u,P-1S430KG,TechCorp,3.0
EMP-1c3qjijlwc,P-1SBO8D1,RetailCo,36.0
EMP-kca8h02yjn,P-1X1CY7T,TechCorp,36.0
EMP-gybnec33ht,P-1XVNZ0T,EduWorks,14.0
EMP-7j8crrjgdh,P-1YB5E3M,RetailCo,7.0
EMP-5n54a1m8v6,P-1YW4OO4,TranspoX,2.0
EMP-7lsdctvjda,P-1Z45AVL,EduWorks,26.0
EMP-bvqrqpecns,P-208O387,EduWorks,2.0
EMP-c8iyehzxwx,P-20Y0BLX,RetailCo,27.0
EMP-uazwlzsdcb,P-21X8JBN,RetailCo,4.0
EMP-c2cefdboyd,P-2376X1W,TranspoX,15.0
EMP-q4iyfxcjjb,P-25X09TO,TranspoX,23.0
EMP-omjg2s84un,P-264MFEF,RetailCo,24.0
EMP-pv85hth7ke,P-2ARGR4U,RetailCo,12.0
EMP-rynfyqwp3o,P-2BDDAWZ,TranspoX,34.0
EMP-q7fllt04gf,P-2GCVGML,EduWorks,3.0
EMP-qwpxulrn6g,P-2IYYQW3,MediLife,22.0
EMP-qm64qnuqgh,P-2NC744G,TranspoX,16.0
EMP-ds6qc7t7n6,P-2NF8LFU,EduWorks,25.0
EMP-e6hol55aa2,P-2S7J7OI,MediLife,19.0
EMP-jim8mi8mtp,P-2SKA76J,TechCorp,6.0
EMP-dskvvbd8gk,P-2V2I6SB,TechCorp,19.0
EMP-s1x4eiopws,P-30STRLR,TranspoX,19.0
EMP-08tboy0br4,P-31UJMTB,TranspoX,12.0
EMP-omwiyqln33,P-336TAJ9,RetailCo,12.0
EMP-j4612yfxxh,P-35PPELH,TranspoX,17.0
EMP-9dj0w4sohp,P-363AR58,,
EMP-hsy0td7nzt,P-36VEQF6,MediLife,11.0
EMP-1k2v8v8ado,P-38G239L,AgriFoods,35.0
EMP-owqlmoiyxr,P-38ZCFIN,RetailCo,40.0
